Headline,label
Mexico City  At least one dead and    injured in collision on metro,-1
Travel     of the best secret retreats in the Canary Islands,1
Seattle  Public schools sue social media platforms for youth  mental health crisis ,-1
Chicago  New report details sexual misconduct allegations in public school system,0
Alex Jones   Lawyer s license is suspended for releasing sensitive records,-1
Harry  The Interview review  So horribly sad it could have turned the Queen anti monarchy,-1
Man City     Chelsea  Mahrez stunner sparks FA Cup cruise against pitiful Blues,-1
The US should break up monopolies   not punish working Americans for rising prices,1
Search for Texas vigilante who fatally shot robbery suspect carrying fake gun,-1
Racism rebranded  How far right ideology feeds off identity politics,-1
Louisiana  Ex police deputy given     year sentence for sex crimes,0
Books  Meet the    best new novelists for     ,1
Alcarr s director Carla Sim n   I have feelings for Spanish culture and Catalan culture ,0
US coronavirus data,0
China  Borders reopen as lunar new year travel kicks off amid Covid surge,0
Across the country,0
Wordiply thrasher,0
Under the  we pay  you entertain  deal  Harry is now the hardest working royal,1
 This is no way to live   Mississippians struggle with another water crisis,-1
 Feeling betrayed   The reaction in George Santos s district to brazen lies,-1
 One more embarrassment   McCarthy debacle wearily received in California home town,-1
California  Back to back storms drop deluge of rain and snow with more ahead,-1
Putin  President attends Orthodox Christmas service alone,-1
Sri Lanka  Hedge funds holding up vital debt relief for crisis hit country  warn economists,-1
Nigel Slater s recipes  Breakfast muffins  and kipper cakes with dill sauce,0
Prince Harry s book could be  beginning of end  for royals  warns Charles s biographer,0
Louisiana   Officer arrested after car crash kills two innocent teenagers during police chase,-1
New Mexico  Police investigate shootings at officials  homes and offices,0
The weekend s best photos  Delhi Pride and Peru protests,1
Virginia shooting of teacher by six year old  not accidental   authorities say,0
Pope Benedict XVI  Time lapse shows thousands of people gathering to attend funeral,-1
An art treasure long cherished by Muslims is deemed offensive  But to whom ,0
Victoria Lee  Rising MMA star dies at age of   ,0
 Love is overwhelming   Recovering Hamlin posts update on social media,1
Prince Harry  Prince Harry defends tell all memoir in furious ITV interview,-1
Blind date   I fired half a baklava across the table  but I think I styled it out ,-1
Sculpture  Balloon animals beyond the poodle,0
Einstein  Piaf  Twiggy  Marilyn Stafford s extraordinary life behind the lens,0
Myanmar  On the frontline with the rebel army fighting brutal junta,-1
 Vulnerable boys are drawn in   Schools fear spread of Andrew Tate s misogyny,-1
Rohingya  Refugees bet lives on boat crossings despite rising death toll,1
Immigration  Biden tells migrants not to  show up at the border  in new policy announcement,0
NFL  Trainer who rushed to Damar Hamlin s aid lauded as  real hero ,1
Young people don t hate their bodies because they are weak   but because capitalism demands it,-1
Cellphones  cameras  DNA  how police caught Idaho student killings suspect,-1
 I own multiple vacuum cleaners   he litters indoors   What happened when four writers swapped chores with their partners ,0
Play the Guardian s new daily word game and share your score with your friends,1
US politics  McCarthy takes vote losses to six as US House of Representatives adjourns again,-1
Europe  Record high temperatures leave Alps without snow,0
Ukraine and Pope Benedict s funeral  The week around the world in    pictures,-1
Margaret Cho   I was never in doubt that I d do standup ,1
Brazil Bolsonaro supporters storm presidential palace,1
Monkeys  Revealed  US allowing long tailed macaque imports despite risk of disease,1
First Thing email newsletter,0
Live  Lula condemns  barbarism  and criticises Brazilian police following protest,-1
 A search for ourselves   Shipwreck becomes focus of slavery debate,-1
 A fearless preacher   Pope Francis leads Catholics at Benedict s funeral,0
US Mexico  Biden visits border for first time as critics condemn his migrant crackdown,-1
Andrew Tate isn t feminism s inadvertent bastard child  He s sexism s last gasp,-1
 It s going to be dirty  Republicans gear up to attack Hunter Biden,-1
Live      arrested in Bras lia as Lula condemns  barbarism  after storming of presidential palace and supreme court   live,-1
H bombs or chicken bones  The race to define the start of the Anthropocene,0
After chaotic week  McCarthy faces new battle as House votes on rules package,-1
Kevin McCarthy   After chaotic week  speaker faces next battle as House votes on rules package,-1
Paul Mescal  Normal People actor set to star in Ridley Scott s Gladiator sequel,0
 No rational reason   Zelenskiy criticises west sending armoured vehicles instead of tanks,-1
Publishing  Man pleads guilty to stealing more than       manuscripts,-1
Jair Bolsonaro supporters storm Brazil s presidential palace and supreme court,1
NFL  Dolphins pip Pats and Steelers to playoff spot as Bills honor Hamlin,1
Ask Philippa  I hate my ageing body  Why do I look at myself with disgust ,-1
Tesla  Musk seeks to move trial out of San Francisco  claiming he can t get fair trial,1
Boxing  Davis stops Garcia in eight to retain WBA lightweight title,0
House speaker McCarthy clinches gavel at   th attempt,0
Abortion  The US government just took two big steps  Will they matter ,0
Immigration Biden s  carrot and stick  approach met with anger,-1
The Shards by Bret Easton Ellis review  An inspired fever dream of a book,1
Italo Calvino  The Written World and the Unwritten World review   a box of delights,1
A new start after     I became a naturist at      and it felt like freedom,1
Rising MMA star Victoria  The Prodigy  Lee dies at age of   ,0
 Disability is not a tragedy   The remarkable life of activist and rebel Hale Zukas,0
