Headline,label
US politics  McCarthy takes vote losses to six as US House of Representatives adjourns again,-1
Live  Lula condemns  barbarism  and criticises Brazilian police following protest   live,-1
Racism rebranded  How far right ideology feeds off identity politics,-1
US coronavirus data,0
H bombs or chicken bones  The race to define the start of the Anthropocene,0
 It s going to be dirty  Republicans gear up to attack Hunter Biden,-1
A new start after     I became a naturist at      and it felt like freedom,1
Young people don t hate their bodies because they are weak   but because capitalism demands it,-1
Texas  Search for vigilante who fatally shot robbery suspect carrying fake gun,-1
Virginia  Shooting of teacher by six year old  not accidental   authorities say,0
 A landmark step   How pioneering foetal surgery is transforming lives,0
Louisiana  Ex police deputy given     year sentence for sex crimes,0
Einstein  Piaf  Twiggy  Marilyn Stafford s extraordinary life behind the lens,0
Alex Jones   Lawyer s license is suspended for releasing sensitive records,-1
Germany  Police arrest Iranian man suspected of planning chemical attack,-1
Books  Meet the    best new novelists for     ,1
Under the  we pay  you entertain  deal  Harry is now the hardest working royal,1
Palette styles new do not delete,0
Live  Lula condemns  barbarism  and criticises Brazilian police following protest,-1
The writing s on the wall for the paper check   but I m still going to miss it,-1
 Disability is not a tragedy   The remarkable life of activist and rebel Hale Zukas,0
 Profoundly troubling   Harvard Kennedy School condemned for denying fellowship to Israel critic,-1
 One more embarrassment   McCarthy debacle wearily received in California home town,-1
China  Borders reopen as lunar new year travel kicks off amid Covid surge,0
Who wants to live for ever  Only billionaires like Jeff Bezos,1
In brief  A Writer s Diary  The Race Against Time  Price Wars   reviews,-1
Play the Guardian s new daily word game and share your score with your friends,1
Israel  Palestinian foreign minister says travel permit has been revoked,0
California  Thousands without power as state braces for next onslaught of storms,0
A day at the beach   Quicksand had never felt real as a concept until this moment ,0
Travel     of the best secret retreats in the Canary Islands,1
Alcarr s director Carla Sim n   I have feelings for Spanish culture and Catalan culture ,0
The US should break up monopolies   not punish working Americans for rising prices,1
The weekend s best photos  Delhi Pride and Peru protests,1
 A fearless preacher   Pope Francis leads Catholics at Benedict s funeral,0
Abortion  The US government just took two big steps  Will they matter ,0
Water  Fears US supreme court could radically reshape clean water rules,1
Louisiana   Officer arrested after car crash kills two innocent teenagers during police chase,-1
Kevin McCarthy   After chaotic week  speaker faces next battle as House votes on rules package,-1
Seattle  Public schools sue social media platforms for youth  mental health crisis ,-1
Ask Philippa  I hate my ageing body  Why do I look at myself with disgust ,-1
Rohingya  Refugees bet lives on boat crossings despite rising death toll,1
Aston Villa     Stevenage  Campbell s late stunner causes FA Cup upset,-1
Contact the Guardian,0
