Headline,label
Are Apple AirPods Pro an alternative to pricey hearing aids ,0
Rumble CEO tells Tucker Carlson his company is  winning  the free speech game amid social media censorship,1
In the face of crime and danger  Americans stepped up to help complete strangers in        People are amazing ,0
Harry makes bombshell accusation about family s role in Meghan s  suffering ,-1
ADIOS Biden departs El Paso  Texas just hours after arriving for first  brief visit to southern border,0
More Americans turning to credit cards to cover basic expenses as inflation rages,0
Connecticut community rallies together after Christmas food donations stolen  It s like a  Hallmark movie ,0
Jessie James Decker lifts up former NFL star husband Eric Decker in PDA filled video   I like big boys ,1
Feeding America CEO asks community to help others amid today s high inflation,1
National Spaghetti Day  A look at the history of the dish,0
 Weekend brisket  for Hanukkah  Try the recipe,0
China reopening borders after three years of  zero COVID ,0
A Baskin Robbins at the border would cause Biden to visit more often  Dan Crenshaw,0
Reddit user asks if she was wrong to wear  colossally large  engagement ring to a relative s engagement party,1
 SANITIZED AND ORDERLY  Sources say Biden s border visit orchestrated to avoid the chaotic crisis reality,-1
NFL playoffs set as final week of      regular season ends,0
CES       AI smart collar aims to take the guesswork out of your dog s health with real time alerts,1
  safety tips for deep frying a Thanksgiving turkey,1
Musk wants change of venue for shareholder trial,0
California facing    B budget shortfall amid economic uncertainty,-1
Political cartoons of the day,0
Holiday gifts for last minute Christmas shopping  These are all American made,1
New York City preps for       nurses to go on strike  impacting emergency triages at   major hospitals,-1
Greeks celebrate Epiphany with blessings of the water after   years of COVID restrictions,1
Get the best of Fox News delivered to your inbox daily,1
Homeland Security develops new portable gunshot detection system,1
McCarthy s win was messy but it brought the GOP together  Elise Stefanik,0
Rep  Donalds says McCarthy and GOP will probe Chinese Communist Party influence on US,1
Heads up  farmers  Biden is coming for your water,0
 MediaBuzz   Sunday  January  ,0
UK police spend thousands on rainbow cars  LGBT flags,0
Injured snowmobiler in Utah hoisted to safety after accident on remote peak,-1
Dickens   Christmas Carol  could help Americans revitalize our spirit,1
Flood alerts in effect across California as another powerful atmospheric river storm aims for the Golden State,1
IN CUSTODY Husband charged for  misleading  investigators in search for missing wife,-1
Dad in Ecuador legally changes gender identity in desperate bid to win custody of children,1
Brazil s National Congress  other sites raided by pro Bolsonaro protesters opposing Lula victory,0
Credit card debt on the rise  Here s the  best weapon in your arsenal  to fight it,0
Sunday Morning Futures w  Maria Bartiromo   Sunday  January  ,0
United Kingdom teachers want to re educate teenage students  brainwashed  by controversial influencer   report,1
Brad Pitt sunbathes with topless girlfriend Ines de Ramon in Mexico amid  semi retirement  plans,0
Ask Kurt  Apple Watch   vs      Worth the upgrade ,0
Fox News Sunday   Sunday  January  ,0
Kentucky Gov  Andy Beshear chosen to co chair Appalachian Regional Commission,0
New York tabby cat looking for a  life of leisure  with a new adoptive family,0
Ex Virginia Tech soccer player allegedly benched for refusing to kneel gets     K settlement  attorney,-1
NFL player s sack celebration doesn t sit well with fans in wake of Hamlin incident,1
FDA accelerates approval for Alzheimer s drug,1
Bible verse of the week  Christ  became poor  to extend  eternal salvation   says faith leader,0
